Participation Code,Gender,Age,Education,STAI-T Total,STAI-S Total_Session1,STAI-S Total_Session2,PANAS Positive Total_Session1,PANAS Positive Total_Session2,PANAS Negative Total_Session1,PANAS Negative Total_Session2,BFI_Open-Mindedness,BFI_Extraversion,BFI_Conscientiousness,BFI_Agreeableness,BFI_Negative Emotionality,AReA_AA,AReA_IAE,AReA_CB,AReA_Overall,Movement Familiarity_1,Movement Familiarity_2,Movement Familiarity_3,Movement Familiarity_4,Movement Familiarity_5
5,,,,,,,,,,,,,,,,,,,,,,,,
s21pdb1,2.0,21.0,6.0,46.0,46.0,43.0,42.0,49.0,32.0,42.0,11.0,6.0,13.0,15.0,9.0,4.0,3.25,3.3333333333333335,3.857142857142857,3.0,2.0,3.0,2.0,3.0
s22pdb1,2.0,40.0,2.0,56.0,52.0,49.0,36.0,36.0,29.0,26.0,8.0,8.0,8.0,9.0,9.0,2.090909090909091,1.25,1.0,1.8571428571428572,2.0,2.0,0.0,2.0,2.0
s23pdb1,1.0,22.0,5.0,48.0,42.0,40.0,43.0,35.0,27.0,22.0,13.0,11.0,9.0,7.0,11.0,3.090909090909091,2.25,1.3333333333333333,2.7857142857142856,1.0,1.0,0.0,1.0,0.0
s26pdb1,1.0,31.0,6.0,47.0,42.0,42.0,41.0,35.0,27.0,24.0,15.0,10.0,9.0,14.0,10.0,4.2727272727272725,4.0,2.6666666666666665,3.928571428571429,4.0,2.0,3.0,4.0,1.0
s26pdb1,2.0,21.0,5.0,40.0,38.0,42.0,42.0,35.0,29.0,24.0,11.0,5.0,10.0,15.0,8.0,4.181818181818182,3.25,2.3333333333333335,3.642857142857143,3.0,3.0,1.0,3.0,3.0
s27pdb1,,,,,,36.0,,43.0,,27.0,,,,,,,,,,,,,,
s28pdb1,2.0,29.0,6.0,49.0,47.0,49.0,37.0,33.0,24.0,23.0,13.0,14.0,10.0,12.0,9.0,4.181818181818182,3.75,2.3333333333333335,3.7142857142857144,1.0,1.0,1.0,1.0,1.0
s29pdb1,2.0,21.0,4.0,51.0,57.0,,31.0,,30.0,,9.0,6.0,8.0,11.0,12.0,2.090909090909091,1.0,1.6666666666666667,2.0,0.0,0.0,,,
s31pdb1,2.0,19.0,3.0,63.0,53.0,44.0,43.0,50.0,41.0,48.0,10.0,8.0,10.0,13.0,10.0,2.0,1.25,1.0,1.7857142857142858,1.0,2.0,0.0,0.0,0.0
s31pdb1,2.0,19.0,3.0,63.0,53.0,52.0,43.0,48.0,41.0,46.0,10.0,8.0,10.0,13.0,10.0,2.0,1.25,1.0,1.7857142857142858,1.0,2.0,0.0,0.0,0.0
s32pdb1,2.0,21.0,3.0,52.0,52.0,,26.0,,16.0,,10.0,9.0,11.0,9.0,10.0,3.0,2.0,2.6666666666666665,2.7857142857142856,3.0,1.0,1.0,2.0,1.0
s34pdb1,2.0,23.0,3.0,55.0,53.0,60.0,36.0,29.0,29.0,34.0,13.0,5.0,9.0,12.0,11.0,2.909090909090909,1.75,3.0,2.7857142857142856,4.0,2.0,3.0,4.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
